Problem Size,Direct,Vector,Indirect
8388608,1.222272,0.828044,1.079789
16777216,1.447325,1.315538,1.545308
33554432,1.403731,1.450414,1.480451
67108864,0.901304,0.915155,1.490666
134217728,0.660787,0.744762,0.964706
268435456,0.617711,0.640324,0.649745
