Problem Size,Direct,Vector,Indirect
8388608,591.691582,765.995830,584.961036
16777216,591.726537,575.684915,611.246150
33554432,592.409355,583.861750,576.529124
67108864,577.656253,525.473316,700.155205
134217728,592.025902,592.174961,1073.582092
268435456,828.770276,624.101969,1145.786848

